# titre;groupes;users;steps;videos;comment;Musique
Floor It;;;Floor%20It.pdf;https://www.youtube.com/watch?v=pNVQR-HzzIw;
For Barbara;;cp;For%20Barbara.pdf;https://www.youtube.com/watch?v=kXYTEWn4dvc&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=22&t=0s;
Free & easy;;;;https://www.youtube.com/watch?v=X_TEkt5y9cE;
Fresh;;cp;;https://www.youtube.com/watch?v=bBS5VDhi7GI&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=23&t=63s;
Get Wild;;p;;https://www.youtube.com/watch?v=NBsXalq--Zc&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=24&t=22s;
Ghost Town;;p;;https://www.youtube.com/watch?v=kddUHJvJoig|https://www.youtube.com/watch?v=xClTUeZYnz0&t=224s;(r12)
Giant;;;;https://www.youtube.com/watch?v=wrVTo2FYHPc&list=PLyEOrXN4p89Qbx8U4VSuW6T587EewGypB&index=36&t=0s;
Give Me Shivers;;p;;https://www.youtube.com/watch?v=vDjbnO1bTjs;(r2,5)
Give Me Shivers EZ;;;;https://www.youtube.com/watch?v=aH4pqYJEdwo&t=429s;(r2, r5)
Go Cat Go;d;p;Go%20Cat%20Go.pdf;https://www.youtube.com/watch?v=in_aRPXqDzU;(ntnr)
Going Going Gone;r;p;Going%20Going%20Gone.pdf;https://www.youtube.com/watch?v=nhbR-EkC5OE;(t1c,T2l,t3c)
Gone West;;cp;Gone%20West.pdf;https://www.youtube.com/watch?v=JzFH9m9Y89w&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=25&t=19s;(t3,t6)
Good Night Out;;pc;;https://www.youtube.com/watch?v=4Vv_bhvUhn8;
Good Vibes;;cp;Good%20Vibes.pdf;https://www.youtube.com/watch?v=dm1AH6RsusI&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=26&t=0s;
Green Green Grass Of Home;;;;https://www.youtube.com/watch?v=pI4KEZM0REA&list=PLyEOrXN4p89Qbx8U4VSuW6T587EewGypB&index=40&t=0s;
Groovy Love;;p;;https://www.youtube.com/watch?v=usPu7OsGyPo&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=27&t=6s;
Half A Cha;;cp;Half%20A%20Cha.pdf;https://www.youtube.com/watch?v=hX4hSJDpBGg&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=28&t=0s;
Hasta Luego;;;;https://www.youtube.com/watch?v=hTnBR2O0kNc&list=PLyEOrXN4p89Qbx8U4VSuW6T587EewGypB&index=43&t=31s;
Heaven's Got A Dirt Road;;;;https://www.youtube.com/watch?v=hcNY-hN6hR8;
Here We Go;r;p;Here_We_Go.pdf;https://www.youtube.com/watch?v=HVdynvYp5Ms;(tag 4c sur mur 1, R5, r6);Here I Go (feat. Jason Dering) - Wildflowers
Highway To Hell;m;;;;;
Hillbilly Girl;rd;p;;https://www.youtube.com/watch?v=KX_0ug6h7Tg;(ntnr)
Hola;;cp;Hola.pdf;https://www.youtube.com/watch?v=L_1QNGV9V4w;(ntnr);Hola
Holding On To Love;;p;Holding%20On%20To%20Love.pdf;https://www.youtube.com/watch?v=ji3H8wq1Ewk;(r2t4r6)
Home By Bearna;;cp;Home%20By%20Bearna.pdf;https://www.youtube.com/watch?v=-9_SO-m0TOU;
Home To Louisiana;;cp;Home%20To%20Louisiana.pdf;https://www.youtube.com/watch?v=9ts7PfR4hwY&t=12s;
Honky Tonk Way;r;cp;Honky_Tonk_Way.pdf;https://www.youtube.com/watch?v=SGZy_5B87qA|https://www.youtube.com/watch?v=EgSWm6eKSF8;(t12)
Hooked On Country;;p;Hooked_On_Country.pdf;https://www.youtube.com/watch?v=PGkUVggTO5w;;"Hooked On Country" Atlanta Pop Orchestra
Hypnosis;ar;p;Hypnopsis.pdf;https://www.youtube.com/watch?v=7n4IxMnY_sk;r4 à face 3h
I Got A Woman;;cp;I%20Go%20A%20Woman.pdf;https://www.youtube.com/watch?v=9Fie8IEVOeo&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=29&t=7s;
I Got This Too;;;;https://www.youtube.com/watch?v=6GYIDp2YXsU&list=PLyEOrXN4p89Qbx8U4VSuW6T587EewGypB&index=47&t=212s;
I'm Alive;;p;I_m_Alive.pdf;https://www.youtube.com/watch?v=jCs6M7-uugk;;Céline Dion
I'm On My Way;;;;https://www.youtube.com/watch?v=1CkKlBjjMMA|https://www.youtube.com/watch?v=sHdWzXz2-wo&t=0s;(ntnr)
Impossible Love;ir;pc;Impossible_Love.pdf;https://www.youtube.com/watch?v=PXq34I7yvK0;(r3, r6);
Indian Song;;cp;Indian%20Sound.pdf;https://www.youtube.com/watch?v=lGACy7hVpMw;(t2t6)
Intoxicating;;;Intoxicating.pdf;https://www.youtube.com/watch?v=pg9Tcldllsg;
In The Morning Sun;;cp;;https://www.youtube.com/watch?v=m1yox1_zCK0|https://www.youtube.com/watch?v=oiH-ikpx1QE;(r2)
Irish Stew;r;p;Irish_Stew.pdf;https://www.youtube.com/watch?v=agGKW1LxjvA&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=30&t=6s;(ntnr);Irish Stew de Sham Rock
Island In The Stream;;;;https://www.youtube.com/watch?v=dSAYCvW_Pw4
Jambalaya;;p;Jambalaya.pdf;https://www.youtube.com/watch?v=pZCO-Knc7hE&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=31&t=8s;(ntnr)
Jerusalema;;cp;;https://www.youtube.com/watch?v=vqxeMMAgatw|https://www.youtube.com/watch?v=vqxeMMAgatw;
Jingle My Bells;;cp;Jingle%20My%20Bells.pdf;https://www.youtube.com/watch?v=txrCpcVjwuo&list=PLyEOrXN4p89TQj6chNGK9A8v-_gwfalRv&index=32&t=0s;
John Henry;w;;Jhon_Henry.pdf;https://www.youtube.com/watch?v=xZj-zz35t-g;(r2, r7);John Henry de Blue Water Highway
Just For Grins;i;cp;Just_For_Grins.pdf;https://www.youtube.com/watch?v=TfBNg_b0ADM;(ntnr)
